image_name,condition,description,time,id
000000016308.jpg,control,A woman holds a tennis racket in front of a large crowd on a grass court.,11947,cio7nedb
000000004975.jpg,control,A woman under an umbrella in a robe smiles next to other people in robes.,29370,pi2eguap
000000008305.jpg,time,Three men in pink uniforms are holding a ball in a gym.,40105,74oaozz5
000000002142.jpg,time,A man sitting on a park bench with dozens of pigeons all around him.,44603,cak70l4w
000000000049.jpg,time,One black horse and one white horse are standing on their two hind legs with riders on their backs.,36763,358bwegk
000000009372.jpg,time,An Asian bride and groom are walking out of a building in the middle of cheering guests.,32398,hnhqay00
000000003080.jpg,time,A large clock on a small tower is seen in front of a glass office building.,26795,fejmds7c
000000010324.jpg,time,The right side of a refrigerator is open with all of its contents visible.,48272,bmg9zsl1
000000002415.jpg,control,There are six persons pulling the ox in the grass,29155,3f44fj08
000000011494.jpg,control,many persons going very happily in the bus,29105,3ifqq5va
000000005213.jpg,control,In the blank road and near green trees a bike standing there.,28895,e9fwftmx
000000009172.jpg,control,Clock tower and lamp standing there in the road.,29038,rm8du113
000000016308.jpg,control,A lady playing tennis in the ground infront of spectators.,30086,7gv7cwtn
000000004975.jpg,control,two ladies holding umbrella with graduation coat talking with some gents,51967,pr4un8fq
000000002415.jpg,time,A crowd tries to lasso a baby buffalo.,41782,qu5egi34
000000011494.jpg,time,A red double decker bus with lots of people on it display a huge gay pride flag. ,44871,biefhopc
000000005213.jpg,time,A motorcycle without a driver is parked on an empty country road and on the right side is lots of vegetation and trees. ,60343,8ketnwn6
000000009172.jpg,time,"The setting close to an old highway overpass, with an old clock on the left side. ",67181,flz9q3yv
000000016308.jpg,time,"Serena Williams is on the tennis court, with onlookers in the stands right behind her. ",32822,w1mq51e8
000000004975.jpg,time,"A group of elderly and middle aged university faculty members are gathered together in cap and gown, in a graduation ceremony. ",54270,d3rt68hy
000000006579.jpg,control,A woman in uniform comforts a crying baby.,66241,ieqf1ttd
000000006780.jpg,control,The teens are playing sports in a huge open field.,78914,p151v7sa
000000007069.jpg,control,"The man stands in front of a ""12"" sign smiling and holding a frisbee",47372,f6wtja9o
000000011567.jpg,control,The tennis playing man makes a jarring face,33271,w3gtftia
000000018766.jpg,control,The bike sits under a statue while it rains outside,31130,4mcg5q2q
000000005755.jpg,control,A rite aid cart is parked right next to the fire hydrant.,21420,wvrky82i
000000008305.jpg,comprehensive,Three men wearing pink shirts and shorts are standing in a gym holding volleyballs.,21276,lyetidnr
000000002142.jpg,comprehensive,A man is sitting on a park bench surrounded by several pigeons.,12813,2po3r6m6
000000000049.jpg,comprehensive,Two men are on the back of a white and black horse that have their front hooves up in the air.,21560,t1srvx3s
000000009372.jpg,comprehensive,A bride and groom wearing all white are exiting a building while several people look on.,14278,mhk550cs
000000003080.jpg,comprehensive,The front of a building is shown with 2 large clocks on it.,14206,leksvg0y
000000010324.jpg,comprehensive,A side by side refrigerator is shown with the left side door open.,12592,4t74fg2l
000000006579.jpg,essential,A little boy holding a teddy bear looks frightened as he is looking at a woman in an army uniform.,18020,zohdgeyx
000000006780.jpg,essential,A woman is lying on the floor with a frisbee as other players run up to her.,22130,6cp93i4d
000000007069.jpg,essential,A man holds a frisbee in front of a disc golf marker.,11618,86myu428
000000011567.jpg,essential,A tennis player makes a funny face as he stands on the court holding a racket and a ball.,13895,dwh8szk0
000000018766.jpg,essential,A closed umbrella is attached to a bicycle under a fountain.,56858,y5v5fbp3
000000005755.jpg,essential,A yellow hydrant sits on a patch of grass on the sidewalk near a shopping cart.,19369,uvwxoxsc
000000011034.jpg,control,boy sitting in the sofa and playing video games and a man sitting nearby,84297,u10j8ksh
000000002400.jpg,control,A man with two big dogs sitting at the park,30423,fp56dml2
000000001053.jpg,control,bicycle riders crossing the road very carefully and a car closeby,35166,r1y5x67t
000000007524.jpg,control,a woman riding on a horse and a man on a motor bike watching this riding,56575,ocbvy58g
000000003325.jpg,control,A pot is painted very beautifully and very naturally and some people inside the room,44021,t69qmdgg
000000012109.jpg,control,a red and black colour small car filling fuel at the bulk ,28777,mjagifov
000000002415.jpg,essential,A bull with a rope tied around its horn being tugged on by men. ,24904,arpw4m3l
000000011494.jpg,essential,A group of elderly people riding on a bus with a pride flag.,13039,ryjzxyl5
000000005213.jpg,essential,A motorcycle pulled over by a national forest sign.,13896,cn0mqfu9
000000009172.jpg,essential,A clock sitting in front of an bridge. ,19640,otmhimx9
000000016308.jpg,essential,A woman playing tennis in a professional aspect. ,22643,njpxws14
000000004975.jpg,essential,A women smiling holding an umbrella at a graduation. ,20915,3vi7z2f9
000000002415.jpg,essential,A group of men are controlling a cow with green rope.,36945,vdbcacdw
000000011494.jpg,essential,A double decker bus with people on top and a rainbow flag on its side is in a parade.,47642,15pgryoh
000000005213.jpg,essential,A red and black motorcycle is parked on the side of the road in front of a White Mountain National Forest sign.,26301,4k7oabpt
000000009172.jpg,essential,A clock on a pole is seen in front of a bridge.,35177,ukggiqfc
000000016308.jpg,essential,Serena Williams in a white tennis outfit is holding a racket by her side in the middle of tennis court.,24692,njvqyrto
000000004975.jpg,essential,A graduation ceremony where people are in full cap and gown.,55393,fhw2rlfk
000000011034.jpg,control,a father and his child playing video games,103912,aoys07ln
000000002400.jpg,control,a man photography with dogs in the nature,29460,eeidvf7f
000000001053.jpg,control,a cycling boys playing in road in the morning,39160,lkuxbrty
000000007524.jpg,control,a girl horse raid on the road in public,158173,1h3jc46f
000000003325.jpg,control,a big jar showing people in museum in the city,35012,yhobh8wx
000000012109.jpg,control,a nano car in the road on people showing,24073,avpv34rf
000000011034.jpg,control,A young boy and a man are sitting on a blue couch holding video game controllers.,17826,3y2qtdzf
000000002400.jpg,control,A man is sitting on a park bench while 2 dogs sit nearby.,11916,gw7n7qsn
000000001053.jpg,control,Five men on bikes are crossing a street in front of a silver car.,12495,g60hxr8i
000000007524.jpg,control,A police officer is sitting on a horse while talking with a police officer sitting on a motorcycle.,20304,nboa87o5
000000003325.jpg,control,A brown vace is shown behind a glass case with people in the background.,14661,8f3a18ny
000000012109.jpg,control,A black and red mini car is parked in front of a parking meter.,12744,6w9syroi
000000006579.jpg,control,A child with a terrified look on his face is holding stuffed animals in front of a soldier.,29137,vw83irke
000000006780.jpg,control,A young woman is on the ground holding a white frisbee in the middle of an ultimate frisbee game.,40724,tumfpe13
000000007069.jpg,control,A man is outdoors holding a yellow frisbee while standing in front of a sign on a wooden post.,32422,6agdqe7l
000000011567.jpg,control,A man with an incredulous look on his face is standing on a tennis court holding a ball in one hand and a racket in the other.,34531,2l07e8ez
000000018766.jpg,control,The top portion of a bicycle is seen in front of a water fountain.,33515,h2b83pzr
000000005755.jpg,control,A blue Rite Aid shopping cart is parked on the curb behind a yellow fire hydrant.,45415,dtgbygwp
000000011034.jpg,time,A man sitting down and playing games with a boy sitting down.,21172,envlwttt
000000002400.jpg,time,A man sitting on a park bench with his dogs.,11019,95sdvazg
000000001053.jpg,time,People riding bikes around in a parking lot .,19297,fea1nho0
000000007524.jpg,time,A police officer stopped in front of a horse and its rider.,15483,fto4fhwq
000000003325.jpg,time,A vase from what looks like ancient Greece.,21275,2d9e0qz5
000000012109.jpg,time,A smart car sitting at a charging station.,15048,ig64g8fj
000000008305.jpg,essential,A group of male volleyball players in pink uniform look to the right. ,46389,3o61kz7a
000000002142.jpg,essential,An elderly Asian man with a baseball cap sits on a park bench. He is feeding a large group of pigeons. ,64917,mwdl1o15
000000000049.jpg,essential,Two people in costume attire each have a horse and they are posing for the camera.,74289,6lw3mlc4
000000009372.jpg,essential,An Asian bride and groom walk down the steps of a building with wedding guest cheering them on. ,37829,yirqctd8
000000003080.jpg,essential,An office building has a structure that looks like a clock in front of it. ,48323,p8f55bcz
000000010324.jpg,essential,"A refrigerator door full of food is open, revealing a puppy and its bed on top of the vegetable crisper. The puppy is looking at the camera.",52649,y48ov6nw
000000006579.jpg,time,A woman is handing a small child a white teddy bear.,50071,yke9if1u
000000006780.jpg,time,Several girls are on a grassy field while one girl is on her back.,17835,76jw4r79
000000007069.jpg,time,A man is standing in front of a phone booth holding a green frisbee.,13711,k8sazb8k
000000011567.jpg,time,A man is standing on a tennis court holding a raquet and a ball.,14046,gb6nne3i
000000018766.jpg,time,A closeup of a blue and red bike is shown with a large fountain behind it.,18599,s7khg7y3
000000005755.jpg,time,A blue shopping cart is on a street next to a yellow fire hydrant.,16655,hx5ei8ml
000000008305.jpg,comprehensive,three players in pink colour dress and ready to play volley ball,51026,2w4m8rid
000000002142.jpg,comprehensive,a man wearing black dress and white cap feeding some birds joyfully,35638,ie5lefqp
000000000049.jpg,comprehensive,black horse and white horse are riding with two men at the ground ,41519,1qjpvli3
000000009372.jpg,comprehensive,new married couples wearing white dress and having a bouquet with her,62734,qvaiwqcv
000000003080.jpg,comprehensive,beautiful mirror building having a clock and very nice looking on seeing two clocks,63871,jchph9dx
000000010324.jpg,comprehensive,refrigerator contains some more things which are eatables and the door is opened,44549,zc2jqvhx
000000011034.jpg,time,A man and a young boy are sitting on a blue couch playing video games.,30607,uvw5yga5
000000002400.jpg,time,"A bald man is sitting on a wooden bench holding leashes for two dogs.  One dog is sitting in front of him, the other dog is behind him.",36913,aywn507d
000000001053.jpg,time,A group of bicyclists are crossing a street in a line in front of a stopped car.,25926,sz2ma7dk
000000007524.jpg,time,A police officer on a horse is talking to a police officer who is standing on the street.,24366,7e9q98xu
000000003325.jpg,time,An artifact that looks like an old brown vase is on display in a case in a museum.,36673,amq5qur3
000000012109.jpg,time,A red smart car is parked on the side of the street next to a meter.,23479,9vptwu42
000000006579.jpg,comprehensive,A young white woman wearing a camouflage vest and a U.S. shoulder patch is facing a small group of people and speaking to a brown-skinned boy aged 2 to 3 who is holding a large stuffed animal. ,162864,902pdldo
000000006780.jpg,comprehensive,Young people in casual athletic clothing are playing a game on a large green field with trees in the background and twenty or so other people on the sidelines.  One female player has just fallen to the ground.,145227,imqu8njx
000000007069.jpg,comprehensive,A bearded white man in his late twenties is holding a frisbee near a sign for a disc golf station in an area with pine trees and shrubs.,111521,ohxtb5lz
000000011567.jpg,comprehensive,A man in casual athletic clothing is standing on a tennis court while holding a racket in one hand and a ball in the other.  Another ball is bouncing off the court.  The man is grimacing.,109565,75nruwo9
000000018766.jpg,comprehensive,A parked bicycle has an umbrella strapped to the top bar in an urban setting.  Rain is falling.,59332,16do4bam
000000005755.jpg,comprehensive,A Rite Aid shopping cart is on a grassy curb strip behind a fire hydrant.,42374,pkbn0r5a
000000008305.jpg,time,Three men are in line to receive rewards at a sports competition.,35660,5uuo7txc
000000002142.jpg,time,A man sits on a bench feeding a flock of pigeons.,26417,5cx3d3gq
000000000049.jpg,time,Two police officers are riding horses on the grass ,71515,a1f5a4zi
000000009372.jpg,time,The bride and groom exit the wedding to a crowd cheering them on.,66151,j8l49fu0
000000003080.jpg,time,A huge statue clock sits beautifully in front of the skyscraper,54134,mtrx59eb
000000010324.jpg,time,The refrigerator door is open and full of food.,60079,c54xnn0c
000000002415.jpg,essential,some men fetching a buffalo with a rope on the ground,27607,ufwldkya
000000011494.jpg,essential,people enjoying in the red colour bus with joyfully and the bus is covered with multi colour cloth,45943,6h4q6z8k
000000005213.jpg,essential,red colour motor bike is parked in the greenish garden,35326,r8hbck99
000000009172.jpg,essential,a clock is fitted at the top of the pillar and looks very beautifully,52263,qo686fmo
000000016308.jpg,essential,white colour dress weared lady is ready to play with a bat,49629,7c4ftpf6
000000004975.jpg,essential,some men in the coat near the court and a lady in black coat with umbrella,41377,rg0fvye6
000000008305.jpg,comprehensive,"Three men in pink uniforms are standing beside each other in a gym, each holding a purple and yellow striped ball.",39223,xzx9hkxx
000000002142.jpg,comprehensive,A smiling man is sitting on a park bench surrounded by pigeons as he feeds them.,61731,zzf9vogd
000000000049.jpg,comprehensive,A white horse and a black horse both rear up on their hind legs as fancily dressed people sit on their backs.,49379,mu1ts98b
000000009372.jpg,comprehensive,"A bride and groom descend an outdoor staircase that is lined by smiling people, some clapping and one taking pictures.",61738,p42o0is8
000000003080.jpg,comprehensive,A clock on a tower by a building shows the time as 3:23.,58744,q1gj18jt
000000010324.jpg,comprehensive,An open refrigerator door shines light into a dark room.,24706,lsf3ifxt
000000008305.jpg,essential,Three members of a volleyball team are standing on a blue court.  They are all wearing pink uniforms and holding a blue and yellow striped ball.,41116,40fs5x0a
000000002142.jpg,essential,"An older Asian man is sitting on a wooden park bench.  He is wearing a white hat with a red ""B"" on it and a black leather jacket.  He is feeding a large group of pigeons who have gathered around him.",58355,nz25mo82
000000000049.jpg,essential,Two men wearing blue and white costumes with large hats are riding horses in a park.  Both horses are standing on their hind legs.  One of the horses is black and the other horse is white.,54260,orqhaq63
000000009372.jpg,essential,A bride and groom are walking down the stairs with their friends and family lining both sides.  The bride and groom are both dressed in all white and holding hands.  The bride is also holding flowers.  The people around them are clapping and taking pictures.,57137,zxgpj6q8
000000003080.jpg,essential,A large analog clock sits on top of a building column in front of a tall office building with a lot windows.,42398,s0kcjlwz
000000010324.jpg,essential,"A refrigerator door has been left open and there is a dog sitting on a dog bed on the bottom shelf of the refrigerator.  The top shelves are filled food and drinks.  The lights in the kitchen are turned off, so that the refrigerator light is the only light in the room.",88633,t8ucnqn3
000000002415.jpg,comprehensive,The stubborn bull is being pulled upon by the men.,47078,v8at4iuk
000000011494.jpg,comprehensive,Gay pride is in full effect as people in the crowd cheer.,78319,5chod4tp
000000005213.jpg,comprehensive,The moped sits abandoned in front of a sign that says White Mountain National Forest,70119,dwv08vyf
000000009172.jpg,comprehensive,Barron trees overlap street signs and the Ellicott City clock.,70821,csp106dw
000000016308.jpg,comprehensive,Serena Williams smiles and holds her tennis racket.,31849,tp1m7tgp
000000004975.jpg,comprehensive,Graduation day commences as two women hold umbrellas.,74390,6xrl4ykv
000000011034.jpg,essential,An adult and a child hold video game controllers,51143,b7y2834v
000000002400.jpg,essential,A man sits on a bench with two dogs in the grass near him,33007,a2jgxggh
000000001053.jpg,essential,Five bicyclists cross the street at a stop light,40803,ow1uhc3k
000000007524.jpg,essential,One police officer rides a horse while another is on a motorcycle in the street,20573,pit6duy4
000000003325.jpg,essential,An ancient urn has artwork of horses and people on the side,35766,kp6y1pbp
000000012109.jpg,essential,A very short car is parked next to a parking meter,97065,4vzy57zd
000000011034.jpg,comprehensive,A man and a child are sitting on a blue couch holding a steering wheel video game controller.,31310,sfz9e0bu
000000002400.jpg,comprehensive,A man holding a camera is sitting on a wooden park bench with a brown and white dog in front of him and a black and white dog behind him.,37124,1ie41siv
000000001053.jpg,comprehensive,Give cyclists are crossing the street in front of a stopped gray vehicle.,37327,xgqohpln
000000007524.jpg,comprehensive,A police officer on a horse is next to a police officer on a motorcycle with a crowd of people behind them.,26831,dazz3czt
000000003325.jpg,comprehensive,People on a horse drawn carriage are seen on a vase which is displayed behind glass in a museum.,33783,bltkngav
000000012109.jpg,comprehensive,A red and black smart car is parked in front of a parking meter.,25683,tv0klclm
000000002415.jpg,time,A group of men stand outside by a cow that has a rope attached to it.,43303,cekvq0be
000000011494.jpg,time,A large group of people on the top of a double decker bus wave to people on the street.,53016,qzdmf4k8
000000005213.jpg,time,A red motorcycle is parked on the side of a road lined with foliage.,21279,egpyjpwv
000000009172.jpg,time,An outdoor clock sits in front of an overpass on a sunny day.,33935,rq5s6iiz
000000016308.jpg,time,A female tennis player holds her racket as she stands on the court.,26198,gqk0v44i
000000004975.jpg,time,Older adults in caps and gowns stand outside with one person holding a big umbrella.,40167,xiqh9l01
000000002415.jpg,control,Six men are in a grassy area with a residential building surrounded by a stone wall in the background.  The men are holding two ropes that are tied to a small shaggy yak or ox. ,139938,hpbtbgm5
000000011494.jpg,control,A double-decker bus with the label Dame Flora Robson is on a street. The upper level of the bus is full of people. The bus has a large rainbow flag on the side and a banner that reads LBGT and Friends Social Group.,101251,eeoumb0r
000000005213.jpg,control,A motorcycle is parked on the side of a road lined with trees with forested hills or mountains in the distance.  A sign on the side of the road reads White Mountain National Forest.,64458,gr1tm90t
000000009172.jpg,control,An old-fashioned tall clock and streetlight are on a cobblestone sidewalk. Above the clockface is a label reading Ellicott City.,128538,r2o1009c
000000016308.jpg,control,A black female tennis player in a white skirted playing outfit is standing on a grass court with spectactors and cameramen behind her.,99440,o8mxkm20
000000004975.jpg,control,Six people in formal academic clothing -- black robes and doctoral hoods -- are outside a brick building.  Some are holding umbrellas.,85281,qh1116ma
000000006579.jpg,comprehensive,A woman attempting to comfort a crying child holding a bear.,12506,c3g380ga
000000006780.jpg,comprehensive,A bunch of people playing sports on a large field.,10947,99ajrmni
000000007069.jpg,comprehensive,A man holding a Frisbee by a trail sign.,22144,oa267r15
000000011567.jpg,comprehensive,A male tennis player bouncing a ball in a court.,15339,0isqfaf0
000000018766.jpg,comprehensive,A bicycle with an umbrella attached to it sitting under an umbrella.,19967,vslgmlss
000000005755.jpg,comprehensive,A shopping cart parked along sign a fire hydrant. ,17895,38hjgh4d
000000011034.jpg,essential,The guys are narrowly focused on playing the video game.,79720,8igg2ahy
000000002400.jpg,essential,It is picture day for the two beautiful dogs and their owner.,57917,g8ed36z4
000000001053.jpg,essential,Five bikers are riding briskly across the street.,52075,krutao1n
000000007524.jpg,essential,Two police officers stop for a chat as a crowd lines up behind them. ,55647,7buvmt5v
000000003325.jpg,essential,The gorgeous vase sits on display in a museum.,50223,syxfit2t
000000012109.jpg,essential,A tiny car is parked directly in front the parking meter.,51552,xjfo2tdv
000000008305.jpg,time,Three men standing in a gym with pink uniforms on,69812,ootkru5h
000000002142.jpg,time,Man sitting on a bench covered with birds,37040,i0q6yd9w
000000000049.jpg,time,Two men in cowboy hats on horses in a fence ,59915,x7ltyxol
000000009372.jpg,time,Asian man and woman walking down stairs from a church in all white,73423,48s0o1uq
000000003080.jpg,time,Building with glass windows and a symbol of a clock on the front of the building,42080,zr8mtasi
000000010324.jpg,time,Refrigerator door open and a white dog sitting on one of the shelves,31736,vrprzftl
000000006579.jpg,control,A woman soldier is giving a white teddy bear stuff animal to a boy who appears to be very sad and distraught about something.,47135,8zoc1mnr
000000006780.jpg,control,"An asian femal soccer player is running on a soccer field while another female player is on the ground, evidently she had fallen down.",55033,7xid8n4q
000000007069.jpg,control,A man with a beard in his mid twenties wearing sunglasses is holding a frisbee. It appears that he is playing frisbee golf.,43411,j0hbyyqc
000000011567.jpg,control,A man is playing tennis during a tournament.,17463,814yn804
000000018766.jpg,control,A red umbrella is attached to a blue bicycle.,29926,hmzd88q5
000000005755.jpg,control,An empty grocery cart is sitting on a tree lawn next to a yellow fire hydrant.,34318,pb5z6bbj
000000006579.jpg,time,A soldier comforting a crying child in a crowd. ,29068,s198zi32
000000006780.jpg,time,"Females on a field playing a sport, one is on the ground. ",22303,w2nqrjyq
000000007069.jpg,time,"A man outdoors, holding a frisbee up next to a sign. ",30147,p2qx6g1x
000000011567.jpg,time,"A man on a tennis court, with a ball in one hand and a racket in the other. ",21895,ytqxjvay
000000018766.jpg,time,A bike next to a fountain with water pouring down. ,22387,owp66x5o
000000005755.jpg,time,A yellow fire hydrant next to an abandoned shopping cart. ,24421,v1lh4ioe
000000011034.jpg,comprehensive,A man and a boy are sitting down and playing a video game.,42385,j5rs74rt
000000002400.jpg,comprehensive,A man with a camera is sitting on a bench with two dogs sitting on the ground by him.,25116,lw3w9rcc
000000001053.jpg,comprehensive,A group of cyclist are riding across an intersection while a car waits.,22308,cfc6joiy
000000007524.jpg,comprehensive,A police officer on horseback talks to another police officer standing next to his motorcycle.,29443,o2tslsnh
000000003325.jpg,comprehensive,A Greek vase is displayed inside of a glass case.,34357,76rxcl0u
000000012109.jpg,comprehensive,A Smart car is parked next to a parking meter.,22908,xvw8z2fo
000000011034.jpg,comprehensive,An adult male and male child are playing a video game together.,23115,oeksrw9q
000000002400.jpg,comprehensive,A man sits on a park bench with two pet dogs close by.,16491,nr50e7qx
000000001053.jpg,comprehensive,Five people on bicycles cross the street while a car waits for them to pass.,16191,1f6w3fde
000000007524.jpg,comprehensive,A police officer on a motorbike speaks to another officer riding a horse.,15675,cuhqsi90
000000003325.jpg,comprehensive,"An elaborate, decorated vase in shades of brown, tan, and ivory sits in a clear display case.",31923,s9ja7q4r
000000012109.jpg,comprehensive,A very small red and black car is parked at the curb of a street.,18028,9z5xoqvf
000000011034.jpg,comprehensive,A man and a young boy are sitting on a couch playing video games,19797,mnfhalxs
000000002400.jpg,comprehensive,A man carrying a camera is sitting on a bench with 2 dogs on either side of him,24249,ia0bu0z8
000000001053.jpg,comprehensive,A small group of bikers are crossing a street while a car waits for them,19001,b9lgempp
000000007524.jpg,comprehensive,A woman sitting on a horse is talking to a man sitting on a motorcycle,28733,mzvrcm0z
000000003325.jpg,comprehensive,Brown vase or glass jar with images of people and horses on it,26462,hnozi3f6
000000012109.jpg,comprehensive,A small car is parked near a meter parking spot,26008,jec31rbm
000000011034.jpg,time,A man and a young boy are sitting on a couch holding video game controllers,35530,pl9hkxpb
000000002400.jpg,time,A man is sitting on a bench outside with 2 dogs near him,27578,jfl2si4z
000000001053.jpg,time,A group of cyclists are biking on a paved road,20281,2pwumuch
000000007524.jpg,time,A police officer on a horse is standing near an old fashioned car,27419,4xcjx6e5
000000003325.jpg,time,An old-looking vase is sitting in a display case,30139,9wxoglny
000000012109.jpg,time,A smart car is parked on the street next to a parking meter,18930,8nujxfzh
000000006579.jpg,comprehensive,A Military women asking quires from a small boy ,73399,n3xf50ab
000000006780.jpg,comprehensive,Young people playing games in a green park,62272,cj3bb94m
000000007069.jpg,comprehensive,A man wearing sunglass in a forest area and showing something to camera,90575,yh6xcnb9
000000011567.jpg,comprehensive,A tennis player in court with racket shows disappointed reaction ,148865,twd6hicd
000000018766.jpg,comprehensive,A Closeup shot of bicycle with an umbrella tied in it.  ,56319,g5ji5kqh
000000005755.jpg,comprehensive,close up shot of sewage water value and old trolley ,64048,afi0m0he
000000008305.jpg,comprehensive,"Three men wearing pink uniforms are walking across a gym, each carrying a volleyball. ",52373,eba08ktq
000000002142.jpg,comprehensive,A man sitting on a park bench is surrounded by hungry pigeons. ,23063,0bkn4q3q
000000000049.jpg,comprehensive,Two horses with riders are rearing high into the air on a specialized course. ,77565,lyat13fm
000000009372.jpg,comprehensive,A just married couple is greeted by a line of excited family members with cameras. ,73322,5a91fvao
000000003080.jpg,comprehensive,"A large metal watch face is situated on the side of a tall, thin building in a skyscraper city. ",137288,9ozzq4ok
000000010324.jpg,comprehensive,"A small dog is sitting on a bed, located inside of an open refrigerator. ",26992,nbn0hvvf
000000008305.jpg,essential,A men's team wearing pink uniforms are holding balls while standing on the sideline.,41754,bg0w7r8x
000000002142.jpg,essential,A man sits on a park bench surrounded by pigeons.,21600,rn7krypd
000000000049.jpg,essential,Two showmen are preforming tricks in an outdoor horse arena.,37318,zkeyfjsp
000000009372.jpg,essential,A bride and groom exit the venue surrounded by friends and family cheering them on.,32303,4ww6hjj9
000000003080.jpg,essential,An analog clock tower is outside of a building.,28435,dl2tjp3e
000000010324.jpg,essential,A dog is laying on his dog bed in an open refrigerator.,20475,wq3b7yla
000000002415.jpg,control,A group of men hold ropes to keep a cow from moving in a field.,64073,ufkljqx6
000000011494.jpg,control,People waving from a double decker bus that is decorated with a Pride flag.,26352,1ktx0f9e
000000005213.jpg,control,A motorcycle is parked on the side of a road beside the White Mountain National Park sign.,31003,ukcvhogl
000000009172.jpg,control,An analog clock is outside of a train terminal.,34970,5qglqahd
000000016308.jpg,control,A woman tennis player is on the court holding her racket looking off to the side.,28464,b8v26p7g
000000004975.jpg,control,A group of college graduates wait in line outside holding umbrellas.,30016,dfqwaor6
000000002415.jpg,time,A dog is about to jump over a little wall.,21471,as3risyf
000000011494.jpg,time,A Gay Pride parade with people celebrating on top of a bus adorned with a rainbow flag on the side.,58057,g73ti36l
000000005213.jpg,time,A motorcycle parked on the side of the road.,20476,0p8002as
000000009172.jpg,time,A clock on top of a pole in the middle of a city.,27648,110vs8cf
000000016308.jpg,time,Serena Williams is holding a racket down by her side during a tennis match.,37022,yc3xqf7j
000000004975.jpg,time,Graduation ceremony with everyone dressed in cap and gowns.,36926,10apshos
000000002415.jpg,comprehensive,A group of men holding strings that are tied to a horned animal. ,24291,r3fk426w
000000011494.jpg,comprehensive,"People on top of double decker bus waving, with LGBTQ+ sign and rainbow flag. ",36396,owc22arl
000000005213.jpg,comprehensive,A stationary motorcycles next to a sign of White Mountain National Forest. ,34670,cgwzgfqt
000000009172.jpg,comprehensive,An empty street sidewalk with a clock that says Elliott City and a bridge in the background. ,28817,qrtksxdk
000000016308.jpg,comprehensive,A woman tennis player on a tennis court as spectators watch. ,29932,y5swqxbm
000000004975.jpg,comprehensive,"People dressed in graduation robes, two hold umbrellas and one smiles at the camera. ",26301,umjrxhmt
000000006579.jpg,comprehensive,"A boy is holding a stuffed animal with a soldier nearby, and the boy is visually disturbed and upset.",33150,c1jmemu2
000000006780.jpg,comprehensive,A woman is on the ground after taking an injury in a soccer game.,15217,clhjdyg3
000000007069.jpg,comprehensive,A man is posing for the camera while holding up a frisbee golf disc.,15766,zxj312d1
000000011567.jpg,comprehensive,"The tennis player is holding a racket and ball, and is getting ready to serve.",24389,98umzwoq
000000018766.jpg,comprehensive,An umbrella is attached to a bike in the bar below the seat.,26465,lub2q0b5
000000005755.jpg,comprehensive,"A rusty old, blue shopping card sits next to a yellow fire hydrant.",24521,k7otnzyy
000000008305.jpg,essential,Three men in matching uniforms are standing in a gym holding volleyballs,44567,4wu4a6kb
